rsi_9,rsi_14,sma_5,sma_spread,cruce_sma,breakout,rsi_reversion,racha_actual,payout,puntaje_estrategia,volatilidad,es_rebote,hora_bucket,result_bin
14.97,20.4,9558.491999999998,0.0004911018955656718,0.18498622420808472,0.15409876616376764,0.5722857142857143,-3.0,0.9524999999999999,0.2993945257945699,0.019452388192645054,0.18807142857142856,0.7872340425531915,0
15.31,20.72,9558.535999999998,0.00048765060270910236,0.18400515238107643,0.15275988294268977,0.5625714285714285,1.0,0.95,0.2924942446443704,0.019317012569715408,0.15564285714285714,0.7872340425531915,0
47.15,39.86,273439.694,0.0006821364380723539,0.4844502019343036,0.0885399274913335,0.06495000000000001,1.0,0.95,0.18078982286710935,0.026916572110667447,0.0312375,0.7872340425531915,0
47.45,40.08,273442.46,0.0006745532265313173,0.4826523507109022,0.08714268645678913,0.06234999999999999,1.0,0.95,0.17951229808057337,0.02662136344110455,0.030587499999999997,0.7872340425531915,1
44.7,38.0,273415.034,0.000749745506252189,0.24994343943634872,0.10035638806678641,0.08649999999999998,1.0,0.95,0.1415679121374436,0.029544587508374187,0.03662499999999999,0.7872340425531915,1
42.55,44.18,3954.772,0.00014845031276988535,0.317540849557263,0.039093911526930536,0.06635,-1.0,0.9550000000000001,0.134328882846736,0.005920417358477703,0.031587500000000004,0.7872340425531915,0
46.06,47.97,3959.876,0.0012741359504829693,0.594468324523122,0.11526153643225483,0.02984999999999999,-4.0,0.9537500000000001,0.20990688659279635,0.04968848538694537,0.0674625,0.7872340425531915,1
45.65,47.78,3959.81,0.0012616248954914983,0.5926311347219446,0.11553290185509281,0.03285,-1.0,0.9550000000000001,0.20395318740041,0.049212790383212135,0.023212499999999997,0.7872340425531915,1
46.2,30.41,9557.764,0.00042125994792591485,0.1644467534367292,0.08303322441923607,0.13114285714285714,2.0,0.95,0.1309824008687284,0.016709224019705204,0.06278571428571428,0.7872340425531915,1
61.52,64.55,842274.576,0.0010386181265300794,0.5568455183380767,0.13339765806056844,0.13035,2.0,0.95,0.2232979013681687,0.04069357065677226,0.06258749999999999,0.7872340425531915,0
60.11,63.64,842254.4879999999,0.00102071836215554,0.5536986531736217,0.12865436841403663,0.11875,-1.0,0.9550000000000001,0.2170478374618768,0.04000647034552285,0.0446875,0.7872340425531915,0
58.77,34.81,9556.592,0.00041665901806798363,0.41304113595854197,0.08350488131455057,0.1198,1.0,0.95,0.17626128244397155,0.016528245291197785,0.044950000000000004,0.7872340425531915,1
59.72,63.4,842249.1900000001,0.0010159974508171807,0.3028612321786706,0.12737296691989172,0.11559999999999998,-2.0,0.9524999999999999,0.1678977296596835,0.03982517145458586,0.058899999999999994,0.7872340425531915,0
61.6,64.6,842275.752,0.0010396660153148601,0.30702836781846454,0.13366584288526273,0.13099999999999998,1.0,0.95,0.17144180234339224,0.04073377967201386,0.047749999999999994,0.7872340425531915,1
59.6,61.55,842387.9439999999,0.0010133902423767,0.5523974029054147,0.12411597358755345,0.10574999999999998,3.0,0.95,0.2169141908512712,0.03972503119625326,0.07143749999999999,0.7872340425531915,0
